"trade_id","symbol","action","quantity","cost_basis","date","description","created_at","modified_at","custodian"
65,"CRM","SELL",1,244.09,"2020-11-10 15:52:00+00",,"2022-11-24 12:40:21.910888+00","2022-11-24 12:40:21.910888+00","ROBINHOOD"
66,"META","BUY",2,270,"2020-11-10 16:41:00+00",,"2022-11-24 12:40:21.918408+00","2022-11-24 12:40:21.918408+00","ROBINHOOD"
67,"TSLA","BUY",2,408.92,"2020-11-10 16:51:00+00",,"2022-11-24 12:40:21.92384+00","2022-11-24 12:40:21.923841+00","ROBINHOOD"
68,"SNAP","BUY",3,38.39,"2020-11-10 16:52:00+00",,"2022-11-24 12:40:21.928355+00","2022-11-24 12:40:21.928355+00","ROBINHOOD"
69,"MSFT","BUY",1,212.11,"2020-11-10 16:52:00+00",,"2022-11-24 12:40:21.933152+00","2022-11-24 12:40:21.933152+00","ROBINHOOD"
70,"DDOG","BUY",1,90.05,"2020-11-12 15:16:00+00",,"2022-11-24 12:40:21.938224+00","2022-11-24 12:40:21.938224+00","ROBINHOOD"
71,"AMZN","BUY",0.05,3153,"2020-11-12 15:38:00+00",,"2022-11-24 12:40:21.942786+00","2022-11-24 12:40:21.942786+00","ROBINHOOD"
72,"GLD","BUY",3,177.41,"2020-11-13 16:51:00+00",,"2022-11-24 12:40:21.947574+00","2022-11-24 12:40:21.947574+00","ROBINHOOD"
73,"AAPL","BUY",0.013732,119.43,"2020-11-13 19:26:00+00",,"2022-11-24 12:40:21.952015+00","2022-11-24 12:40:21.952015+00","ROBINHOOD"
74,"MSFT","BUY",1,216.1,"2020-11-17 14:30:00+00",,"2022-11-24 12:40:21.956979+00","2022-11-24 12:40:21.956979+00","ROBINHOOD"
75,"CRM","BUY",2,247.65,"2020-11-25 21:51:00+00",,"2022-11-24 12:40:21.961554+00","2022-11-24 12:40:21.961554+00","ROBINHOOD"
76,"VYM","BUY",1,89.81,"2020-11-30 14:51:00+00",,"2022-11-24 12:40:21.966622+00","2022-11-24 12:40:21.966622+00","ROBINHOOD"
77,"SPYD","BUY",3,32.71,"2020-11-30 14:52:00+00",,"2022-11-24 12:40:21.971519+00","2022-11-24 12:40:21.971519+00","ROBINHOOD"
78,"SPG","BUY",2,85.66,"2020-11-30 14:56:00+00",,"2022-11-24 12:40:21.976459+00","2022-11-24 12:40:21.976459+00","ROBINHOOD"
79,"NVDA","BUY",0.28142,533.01,"2020-11-30 14:58:00+00",,"2022-11-24 12:40:21.980933+00","2022-11-24 12:40:21.980933+00","ROBINHOOD"
80,"TSLA","SELL",2,575.6,"2020-11-30 15:28:00+00",,"2022-11-24 12:40:21.987974+00","2022-11-24 12:40:21.987974+00","ROBINHOOD"
81,"TSLA","BUY",1,562.7,"2020-12-02 13:58:00+00",,"2022-11-24 12:40:21.995458+00","2022-11-24 12:40:21.995459+00","ROBINHOOD"
